LedgerAddressTransactionId,ImportId,Currency,TxId,Address,VoutN,Value,BlockTime,VinTransactionId,TransactionType,RunningBalance,LatestBalance,TokenRunningBalance,TokenLatestBalance,TokenSymbol,ContractAddress
16,1269,ETH,0xb7361a52a8061af1c8a8d5256970052e27fdfd37a0fc0089175acd4c353b2892,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,4578793,0,18/11/17 23:49,0xb7361a52a8061af1c8a8d5256970052e27fdfd37a0fc0089175acd4c353b2892,SENT,0,0,1259292.619,4548398.853,BAT,0x0d8775f648430679a709e98d2b0cb6250d2887ef
17,1269,ETH,0xb67dd17de10ebd643781b2fd4978edf71fbaf98e13aa53c183827fd0cd51f1f3,0xcab0029621156cf11bb9a14f6f775b57f1a649c9,4771988,0,21/12/17 16:13,0xb67dd17de10ebd643781b2fd4978edf71fbaf98e13aa53c183827fd0cd51f1f3,RECEIVED,0,0,27045.38032,15770,MANA,0x0f5d2fb29fb7d3cfee444a200298f468908cc942
18,1269,ETH,0xf4767cccc27a6c9e39511ebe5ac4231d377eb53e4acbd22a514d7cbcd937b093,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,4603614,0,22/11/17 23:43,0xf4767cccc27a6c9e39511ebe5ac4231d377eb53e4acbd22a514d7cbcd937b093,SENT,0,0,845710.4482,4548398.853,BAT,0x0d8775f648430679a709e98d2b0cb6250d2887ef
19,1269,ETH,0xfa29383194ea43010096e4f21bec25d9c4f4ac3c4e18111348f2f693d95ba328,0xcab0029621156cf11bb9a14f6f775b57f1a649c9,6891277,0,15/12/18 13:06,0xfa29383194ea43010096e4f21bec25d9c4f4ac3c4e18111348f2f693d95ba328,SENT,0,0,0,15770,MANA,0x0f5d2fb29fb7d3cfee444a200298f468908cc942
20,1269,ETH,0x39e3859ba241ac9916f7ccc0891813bb31b5e8c947bf1f5cf8a145f14c2b5fe8,0x55d05eac5e6f7f194615cae9b2deda370f28d478,6095522,0,05/08/18 23:54,0x39e3859ba241ac9916f7ccc0891813bb31b5e8c947bf1f5cf8a145f14c2b5fe8,RECEIVED,0,0,5650,5390,CVC,0x41e5560054824ea6b0732e656e3ad64e20e94e45
21,1269,ETH,0x6104df9c6ba508806d5b0e33fea1a58feffdb94b781579ac2b1864445f0aabd6,0x55d05eac5e6f7f194615cae9b2deda370f28d478,6520286,0,15/10/18 15:00,0x6104df9c6ba508806d5b0e33fea1a58feffdb94b781579ac2b1864445f0aabd6,SENT,0,0,0,5390,CVC,0x41e5560054824ea6b0732e656e3ad64e20e94e45
22,1269,ETH,0x9b1fefa08e1ebfa013521b4650a59e1bda4ca1563da053e46a99480b8ef1c180,0x55d05eac5e6f7f194615cae9b2deda370f28d478,6084497,0,04/08/18 3:27,0x9b1fefa08e1ebfa013521b4650a59e1bda4ca1563da053e46a99480b8ef1c180,RECEIVED,0,0,10.1,5390,CVC,0x41e5560054824ea6b0732e656e3ad64e20e94e45
23,1269,ETH,0x97bcd8dbcded0f214603c61a4679ede6e5d5aaf7dfc6490e3560a024039be471,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,4553985,0,14/11/17 23:58,0x97bcd8dbcded0f214603c61a4679ede6e5d5aaf7dfc6490e3560a024039be471,SENT,0,0,1549455.377,4548398.853,BAT,0x0d8775f648430679a709e98d2b0cb6250d2887ef
24,1269,ETH,0xa90946770464dbc08367599ee617b255c637b82a439b54c6dad7a29cf8b22b2e,0x55d05eac5e6f7f194615cae9b2deda370f28d478,5853186,0,25/06/18 18:20,0xa90946770464dbc08367599ee617b255c637b82a439b54c6dad7a29cf8b22b2e,SENT,0,0,0,5390,CVC,0x41e5560054824ea6b0732e656e3ad64e20e94e45
25,1269,ETH,0x49ba8f25474a211cce13ccd668981d13194e0acdfe7d4cdc845271c5000d0b2e,0x6e20c39b2b07569630ba690bcdca55dd7915bbd6,4245969,0,06/09/17 22:10,0x49ba8f25474a211cce13ccd668981d13194e0acdfe7d4cdc845271c5000d0b2e,RECEIVED,0,0,17.91741977,86.62683286,BAT,0x0d8775f648430679a709e98d2b0cb6250d2887ef
26,1269,ETH,0xccd08a8407095121e170d143692c5f9da7f3d8c0112fae9f98e64fedd8c31821,0x55d05eac5e6f7f194615cae9b2deda370f28d478,6000872,0,21/07/18 0:20,0xccd08a8407095121e170d143692c5f9da7f3d8c0112fae9f98e64fedd8c31821,SENT,0,0,0,5390,CVC,0x41e5560054824ea6b0732e656e3ad64e20e94e45
27,1269,ETH,0x2791bd934f2016e1164e65c210bc88da5cf713a1ed7f5606b3a2c480f0e60189,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,4768179,0,20/12/17 23:58,0x2791bd934f2016e1164e65c210bc88da5cf713a1ed7f5606b3a2c480f0e60189,RECEIVED,0,0,3926577.148,4548398.853,BAT,0x0d8775f648430679a709e98d2b0cb6250d2887ef
